entrezgene	hgnc_symbol	ensembl_gene_id	chromosome_name	band	geneLength	gcContent
406945	MIR153-2	ENSG00000207960	7	q36.3	87	0.436781609195402
407039	MIR33A	ENSG00000207932	22	q13.2	69	0.478260869565217
100616258	MIR4516	ENSG00000265867	16	p13.3	86	0.720930232558139
100422936	MIR3153	ENSG00000265112	9	q22.2	82	0.402439024390244
100616245	MIR4661	ENSG00000266194	8	q21.3	74	0.472972972972973
100500881	MIR3688-1	ENSG00000264105	4	q32.1	93	0.354838709677419
340017	340017	ENSG00000234111	4	q32.1	1392	0.42828030802327
677842	SNORA50C	ENSG00000277887	17	q23.3	133	0.669172932330827
100507391	100507391	ENSG00000237222	3	q29	3647	0.475912652403385
100422871	MIR3117	ENSG00000264720	1	p31.3	78	0.461538461538462
100302142	MIR1246	ENSG00000283203	2	q31.1	73	0.438356164383562
693154	MIR569	ENSG00000207963	3	q26.2	96	0.322916666666667
100302156	MIR1229	ENSG00000221394	5	q35.3	69	0.666666666666667
89866	SEC16B	ENSG00000120341	1	q25.2	9671	0.521815510555338
100616476	MIR4446	ENSG00000265253	3	q13.2	67	0.537313432835821
574503	MIR501	ENSG00000211538	X	p11.23	84	0.535714285714286
677795	SNORA5B	ENSG00000200656	7	p13	132	0.53030303030303
100616266	MIR4733	ENSG00000265444	17	q11.2	76	0.526315789473684
767567	SNORD113-7	ENSG00000200632	14	q32.31	76	0.421052631578947
100616163	MIR4530	ENSG00000266559	19	q13.2	56	0.767857142857143
100422893	MIR3154	ENSG00000264823	9	q34.11	84	0.678571428571429
100500817	MIR3612	ENSG00000265635	12	q24.32	87	0.540229885057471
677825	SNORA44	ENSG00000273544	1	p35.3	132	0.507575757575758
692111	SNORD71	ENSG00000223224	16	q22.2	86	0.488372093023256
693180	MIR595	ENSG00000207637	7	q36.3	96	0.53125
57828	CATSPERG	ENSG00000099338	19	q13.2	3903	0.543510006211493
54407	SLC38A2	ENSG00000134294	12	q13.11	5002	0.405337590584205
5438	POLR2I	ENSG00000105258	19	q13.12	898	0.589223724485783
767582	SNORD114-6	ENSG00000201263	14	q32.31	71	0.408450704225352
442898	MIR324	ENSG00000199053	17	p13.1	83	0.614457831325301
100302119	MIR1538	ENSG00000223109	16	q22.1	61	0.704918032786885
407011	MIR23B	ENSG00000207563	9	q22.32	881	0.535754824063564
693186	MIR601	ENSG00000207991	9	q33.3	79	0.493670886075949
100423043	MIR4269	ENSG00000265215	2	q37.3	84	0.619047619047619
100302270	MIR1305	ENSG00000221227	4	q34.3	86	0.36046511627907
100033814	SNORD115-40	ENSG00000272460	15	q11.2	82	0.426829268292683
29068	ZBTB44	ENSG00000196323	11	q24.3	10654	0.474739985108441
100302112	MIR1284	ENSG00000221264	3	p13	120	0.3
56141	PCDHA7	ENSG00000204963	5	q31.3	5236	0.54978964288114
56140	PCDHA8	ENSG00000204962	5	q31.3	5311	0.547151864930789
201516	ZSCAN4	ENSG00000180532	19	q13.43	2246	0.422663701938463
26784	SNORA64	ENSG00000207405	16	p13.3	134	0.552238805970149
100126335	MIR543	ENSG00000212040	14	q32.31	78	0.384615384615385
100847028	MIR5587	ENSG00000266124	16	p13.3	53	0.641509433962264
161394	SAMD15	ENSG00000100583	14	q24.3	2025	0.434578867948924
9361	LONP1	ENSG00000196365	19	p13.3	3466	0.606560433266402
2549	GAB1	ENSG00000109458	4	q31.21	7993	0.454523381490203
23677	SH3BP4	ENSG00000130147	2	q37.2	5484	0.607289734848296
2519	FUCA2	ENSG00000001036	6	q24.2	4415	0.450980986215633
162962	ZNF836	ENSG00000196267	19	q13.41	3337	0.488273590913015
114904	C1QTNF6	ENSG00000133466	22	q12.3	6856	0.514412026572222
152789	JAKMIP1	ENSG00000152969	4	p16.1	3491	0.538647788728855
51526	OSER1	ENSG00000132823	20	q13.12	2242	0.501260000029909
55093	WDYHV1	ENSG00000156795	8	q24.13	1348	0.472875120514876
58527	ABRACL	ENSG00000146386	6	q24.1	845	0.453359877634845
347733	TUBB2B	ENSG00000137285	6	p25.2	2019	0.566591964196576
57019	CIAPIN1	ENSG00000005194	16	q21	2659	0.510014411057062
400713	ZNF880	ENSG00000221923	19	q13.41	2503	0.556792593249908
10498	CARM1	ENSG00000142453	19	p13.2	3012	0.582322995168799
23201	FAM168A	ENSG00000054965	11	q13.4	1794	0.569093839245062
5004	ORM1	ENSG00000229314	9	q32	1131	0.520758951090087
128553	TSHZ2	ENSG00000182463	20	q13.2	12581	0.480632664261936
1155	TBCB	ENSG00000105254	19	q13.12	1475	0.576823069759809
130888	FBXO36	ENSG00000153832	2	q36.3	3319	0.494024815353487
678	ZFP36L2	ENSG00000152518	2	p21	3693	0.626643264382981
9578	CDC42BPB	ENSG00000198752	14	q32.32	6701	0.532423006889399
692109	SNORD69	ENSG00000212452	3	p21.1	77	0.415584415584416
2277	VEGFD	ENSG00000165197	X	p22.2	2074	0.448227993757968
23390	ZDHHC17	ENSG00000186908	12	q21.2	4881	0.425656046328321
6291	SAA4	ENSG00000148965	11	p15.1	665	0.492787221905535
574455	MIR193B	ENSG00000207639	16	p13.12	83	0.493975903614458
574474	MIR518B	ENSG00000207862	19	q13.42	83	0.493975903614458
3674	ITGA2B	ENSG00000005961	17	q21.31	4668	0.597601121429014
100616203	MIR4734	ENSG00000275238	17	q12	70	0.842857142857143
389831	389831	ENSG00000276256	GL000195.1		3666	0.424963916969352
100302172	MIR1258	ENSG00000221240	2	q31.3	73	0.547945205479452
100846997	MIR5583-2	ENSG00000283645	18	q12.3	59	0.338983050847458
6936	GCFC2	ENSG00000005436	2	p12	5084	0.380222659692014
10325	RRAGB	ENSG00000083750	X	p11.21	2207	0.427950063441389
100616449	MIR4725	ENSG00000265976	17	q11.2	90	0.633333333333333
100422869	MIR3152	ENSG00000264638	9	p22.1	74	0.459459459459459
246175	CNOT6L	ENSG00000138767	4	q21.1	9027	0.432580141357527
692210	SNORD93	ENSG00000221740	7	p15.3	74	0.418918918918919
100302161	MIR1205	ENSG00000221771	8	q24.21	63	0.523809523809524
2147	F2	ENSG00000180210	11	p11.2	2010	0.576451201706222
56923	NMUR2	ENSG00000132911	5	q33.1	2064	0.468637423596414
406942	MIR150	ENSG00000207782	19	q13.33	84	0.666666666666667
100423018	MIR3156-3	ENSG00000266211	21	q11.2	77	0.428571428571429
147660	ZNF578	ENSG00000258405	19	q13.41	7141	0.515566981784268
724023	MIR653	ENSG00000208014	7	q21.3	96	0.364583333333333
100422957	MIR3131	ENSG00000264755	2	q35	63	0.634920634920635
574514	MIR509-1	ENSG00000208000	X	q27.3	94	0.436170212765957
100422965	MIR4263	ENSG00000265321	2	p23.2	83	0.457831325301205
160298	C11orf42	ENSG00000180878	11	p15.4	1143	0.599255641973101
100036564	SNORD115-27	ENSG00000201300	15	q11.2	76	0.368421052631579
100073347	MIMT1	ENSG00000268654	19	q13.43	1288	0.401533694060113
100033444	SNORD115-7	ENSG00000278089	15	q11.2	82	0.402439024390244
10231	RCAN2	ENSG00000172348	6	p12.3	3994	0.554006761587129
151963	MB21D2	ENSG00000180611	3	q29	3367	0.552044463009375
2907	GRINA	ENSG00000178719	8	q24.3	2165	0.626754046271075
100313842	MIR2276	ENSG00000252695	13	q12.12	89	0.573033707865169
81932	HDHD3	ENSG00000119431	9	q32	1946	0.586278852123556
100616413	MIR4462	ENSG00000263926	6	p21.2	58	0.586206896551724
574491	MIR518A2	ENSG00000207699	19	q13.42	87	0.471264367816092
127845	GOLT1A	ENSG00000174567	1	q32.1	1581	0.55550927178581
693132	MIR549A	ENSG00000208003	15	q25.1	96	0.395833333333333
677840	SNORA71D	ENSG00000200354	20	q11.23	138	0.536231884057971
283487	LINC00346	ENSG00000255874	13	q34	6322	0.494147421701993
100313770	MIR548K	ENSG00000221333	11	q13.3	116	0.344827586206897
100302254	MIR1282	ENSG00000221792	15	q15.3	101	0.544554455445545
28992	MACROD1	ENSG00000133315	11	q13.1	1257	0.662450945572561
100616225	MIR4756	ENSG00000265595	20	q13.2	78	0.512820512820513
26747	NUFIP1	ENSG00000083635	13	q14.12	3487	0.412431824946325
100616471	MIR4798	ENSG00000264658	4	p16.1	75	0.36
100847014	MIR5100	ENSG00000263795	10	q11.21	119	0.621848739495798
90187	EMILIN3	ENSG00000183798	20	q12	3827	0.666519974688346
100616386	MIR4654	ENSG00000266144	1	q23.3	76	0.565789473684211
100616479	MIR4635	ENSG00000263834	5	p15.33	79	0.569620253164557
83857	TMTC1	ENSG00000133687	12	p11.22	14235	0.489689755027902
100847015	MIR5691	ENSG00000264984	11	p15.4	68	0.544117647058824
100616331	MIR4650-2	ENSG00000264494	7	q11.22	76	0.460526315789474
406930	MIR138-2	ENSG00000207649	16	q13	84	0.571428571428571
55769	ZNF83	ENSG00000167766	19	q13.41	4400	0.501222375720779
619570	SNORD95	ENSG00000264549	5	q35.3	63	0.555555555555556
152641	WWC2-AS2	ENSG00000251359	4	q35.1	2179	0.62964662689307
116255	MOGAT1	ENSG00000124003	2	q36.1	1110	0.465647563712101
406966	MIR191	ENSG00000207605	3	p21.31	92	0.597826086956522
100033802	SNORD115-26	ENSG00000275524	15	q11.2	82	0.439024390243902
54764	ZRANB1	ENSG00000019995	10	q26.13	5087	0.420332691602562
100616131	MIR3689D1	ENSG00000265848	9	q34.3	74	0.581081081081081
55472	RBM12B-AS1	ENSG00000279331	8	q22.1	709	0.499294781382228
677797	SNORA7B	ENSG00000207088	3	q21.3	139	0.568345323741007
26188	OR1C1	ENSG00000221888	1	q44	945	0.478306878306878
441151	TMEM151B	ENSG00000178233	6	p21.1	5906	0.657048575881833
1300	COL10A1	ENSG00000123500	6	q22.1	3290	0.495733192100713
5498	PPOX	ENSG00000143224	1	q23.3	2982	0.58166427809582
92999	ZBTB47	ENSG00000114853	3	p22.1	5507	0.573598188897644
388021	TMEM179	ENSG00000258986	14	q32.33	1623	0.621934905358116
2916	GRM6	ENSG00000113262	5	q35.3	6993	0.610863872491224
2535	FZD2	ENSG00000180340	17	q21.31	3819	0.559570568211574
80776	B9D2	ENSG00000123810	19	q13.2	1031	0.613100367838734
6754	SSTR4	ENSG00000132671	20	p11.21	1258	0.665341812400636
29914	UBIAD1	ENSG00000120942	1	p36.22	3654	0.554668976137087
100033813	SNORD115-39	ENSG00000200564	15	q11.2	82	0.414634146341463
100616120	MIR4695	ENSG00000265606	1	p36.13	74	0.702702702702703
9288	TAAR3	ENSG00000179073	6	q23.2	1078	0.413729128014842
406881	MIRLET7A1	ENSG00000199165	9	q22.32	80	0.425
340069	FAM170A	ENSG00000164334	5	q23.1	1378	0.493881856904024
57493	HEG1	ENSG00000173706	3	q21.2	9464	0.510346525615972
100422882	MIR3120	ENSG00000283152	1	q24.3	81	0.54320987654321
653464	SRGAP2C	ENSG00000171943	1	p11.2	2461	0.470585696537121
286133	SCARA5	ENSG00000168079	8	p21.1	4560	0.596383956902887
26795	SNORD54	ENSG00000238650	8	q12.1	63	0.428571428571429
9355	LHX2	ENSG00000106689	9	q33.3	2440	0.615128750983421
100187716	MIR1224	ENSG00000221120	3	q27.1	85	0.705882352941177
56833	SLAMF8	ENSG00000158714	1	q23.2	3300	0.558658454240831
101180976	IFNL4	ENSG00000272395	19	q13.2	1881	0.657740532214267
653247	PRB2	ENSG00000121335	12	p13.2	1428	0.488404239049308
100129842	ZNF737	ENSG00000237440	19	p12	8391	0.472388396110107
139201	MAP2K4P1	ENSG00000269904	X	q13.2	2539	0.506663640729119
26807	SNORD43	ENSG00000263764	22	q13.1	62	0.451612903225806
9299	SNORD30	ENSG00000277846	11	q12.3	70	0.414285714285714
340252	ZNF680	ENSG00000173041	7	q11.21	4912	0.426612135622383
100616158	MIR4505	ENSG00000264741	14	q24.3	73	0.684931506849315
100302201	MIR1228	ENSG00000221365	12	q13.3	73	0.753424657534246
693165	MIR580	ENSG00000207756	5	p13.2	97	0.298969072164948
79180	EFHD2	ENSG00000142634	1	p36.21	2419	0.630201215366835
389677	RBM12B	ENSG00000183808	8	q22.1	5101	0.439530090245454
1082	CGB3	ENSG00000104827	19	q13.33	919	0.653949072799894
162966	ZNF600	ENSG00000189190	19	q13.41	2547	0.488203952196757
54851	ANKRD49	ENSG00000168876	11	q21	3024	0.450804321728691
151651	EFHB	ENSG00000163576	3	p24.3	3140	0.429895087929847
146050	ZSCAN29	ENSG00000140265	15	q15.3	5883	0.499889578419309
389558	FAM180A	ENSG00000189320	7	q33	1891	0.527140189907665
9518	GDF15	ENSG00000130513	19	p13.11	1200	0.630844583919018
23252	OTUD3	ENSG00000169914	1	p36.13	6514	0.469990309029702
57596	BEGAIN	ENSG00000183092	14	q32.2	2924	0.623624139215259
574444	MIR491	ENSG00000207609	9	p21.3	84	0.511904761904762
1945	EFNA4	ENSG00000243364	1	q21.3	1257	0.603139128241279
767603	SNORD114-23	ENSG00000200406	14	q32.31	71	0.464788732394366
10787	NCKAP1	ENSG00000061676	2	q32.1	5015	0.398325099962014
221937	FOXK1	ENSG00000164916	7	p22.1	12287	0.607939356011108
8896	BUD31	ENSG00000106245	7	q22.1	1328	0.506620267371498
1056	CEL	ENSG00000170835	9	q34.13	2386	0.611228123968985
100302169	MIR320D2	ENSG00000221081	X	q27.1	48	0.479166666666667
100616280	MIR4503	ENSG00000266327	14	q13.3	83	0.240963855421687
81027	TUBB1	ENSG00000101162	20	q13.32	3496	0.524467828768351
768206	PRCD	ENSG00000214140	17	q25.1	2242	0.640759610899073
130120	REG3G	ENSG00000143954	2	p12	955	0.500028831760763
5866	RAB3IL1	ENSG00000167994	11	q12.3	2602	0.639938993328576
10209	EIF1	ENSG00000173812	17	q21.2	1326	0.500486216946625
26772	SNORD4B	ENSG00000238597	17	q11.2	74	0.432432432432432
6665	SOX15	ENSG00000129194	17	p13.1	1394	0.59827969085376
100616148	MIR4760	ENSG00000263973	21	q22.2	80	0.3375
55276	PGM2	ENSG00000169299	4	p14	3588	0.450040762899744
744	MPPED2	ENSG00000066382	11	p14.1	7385	0.507829693372934
6388	SDF2	ENSG00000132581	17	q11.2	2315	0.486687467339671
84516	DCTN5	ENSG00000166847	16	p12.2	7853	0.489569818907394
647087	C7orf73	ENSG00000243317	7	q33	4467	0.506011169144439
100422948	MIR4284	ENSG00000265724	7	q11.23	81	0.567901234567901
2637	GBX2	ENSG00000168505	2	q37.2	1372	0.691602060959106
7430	EZR	ENSG00000092820	6	q25.3	3285	0.546969569336729
100885848	PTGES3L	ENSG00000267060	17	q21.31	2006	0.498878848820748
9662	CEP135	ENSG00000174799	4	q12	8393	0.388828162792547
51057	WDPCP	ENSG00000143951	2	p15	8012	0.427624816258508
100379224	100379224	ENSG00000186019	19	q13.31	3361	0.437683187213417
677847	SNORA81	ENSG00000221420	3	q27.3	181	0.38121546961326
693148	MIR563	ENSG00000207815	3	p25.1	79	0.443037974683544
100033451	SNORD115-14	ENSG00000199960	15	q11.2	81	0.419753086419753
503835	DUXA	ENSG00000258873	19	q13.43	3346	0.453874738869045
91862	MARVELD3	ENSG00000140832	16	q22.2	4441	0.547595180558815
6641	SNTB1	ENSG00000172164	8	q24.12	6080	0.508549190148715
100852410	ZRANB2-AS2	ENSG00000229956	1	p31.1	783	0.424049791438353
84740	AFAP1-AS1	ENSG00000272620	4	p16.1	6794	0.543228945355656
4322	MMP13	ENSG00000137745	11	q22.2	2719	0.438435294620758
57116	ZNF695	ENSG00000197472	1	q44	3756	0.491948801394421
100616179	MIR4498	ENSG00000266704	12	q24.23	66	0.606060606060606
56978	PRDM8	ENSG00000152784	4	q21.21	4286	0.526738425042527
9796	PHYHIP	ENSG00000168490	8	p21.3	3337	0.610202326230194
100616271	MIR4637	ENSG00000264792	5	p15.2	84	0.30952380952381
60559	SPCS3	ENSG00000129128	4	q34.2	4596	0.396907701482216
1447	CSN2	ENSG00000135222	4	q13.3	1067	0.405171653335847
100616301	MIR4674	ENSG00000265181	9	q34.3	87	0.827586206896552
57471	ERMN	ENSG00000136541	2	q24.1	4045	0.40668364762085
594839	SNORA33	ENSG00000200534	6	q23.2	2045	0.396577017114914
100616246	MIR4799	ENSG00000264274	4	q31.23	74	0.432432432432432
283461	C12orf40	ENSG00000180116	12	q12	4380	0.400124816348859
51545	ZNF581	ENSG00000171425	19	q13.42	1480	0.615826468876716
494329	MIR380	ENSG00000198982	14	q32.31	61	0.409836065573771
100302279	MIR1262	ENSG00000221203	1	p31.3	93	0.354838709677419
327	APEH	ENSG00000164062	3	p21.31	2773	0.586071857490765
51077	FCF1	ENSG00000119616	14	q24.3	2581	0.421082311281405
84106	PRAM1	ENSG00000133246	19	p13.2	2209	0.619997362645601
100616363	MIR4735	ENSG00000265986	1	q31.3	69	0.376811594202899
406999	MIR217	ENSG00000207548	2	p16.1	110	0.363636363636364
143241	DYDC1	ENSG00000170788	10	q23.1	3404	0.470252541610165
54847	SIDT1	ENSG00000072858	3	q13.2	5066	0.479876032804668
525	ATP6V1B1	ENSG00000116039	2	p13.3	3946	0.574316164841968
100302192	MIR548F1	ENSG00000221594	10	q21.1	63	0.299679487179487
116143	WDR92	ENSG00000243667	2	p14	3153	0.445081171622445
100302195	MIR320C2	ENSG00000212051	18	q11.2	50	0.48
4125	MAN2B1	ENSG00000104774	19	p13.13	3224	0.602869351844897
100616229	MIR4473	ENSG00000263790	9	p21.3	91	0.472527472527473
100847029	MIR5003	ENSG00000265160	5	q35.1	27	0.666666666666667
664612	MIR539	ENSG00000202560	14	q32.31	78	0.307692307692308
85236	HIST1H2BK	ENSG00000197903	6	p22.1	839	0.49940302770637
245930	DEFB116	ENSG00000215545	20	q11.21	309	0.438756630072777
10692	RRH	ENSG00000180245	4	q25	1556	0.415383464951056
100616303	MIR3688-2	ENSG00000283379	4	q32.1	87	0.35632183908046
100616474	MIR4715	ENSG00000266517	15	q12	79	0.493670886075949
6903	TBCC	ENSG00000124659	6	p21.1	1651	0.548152634766808
100422966	MIR4277	ENSG00000263746	5	p15.33	84	0.642857142857143
338651	KRTAP5-AS1	ENSG00000233930	11	p15.5	2882	0.660477044159202
442906	MIR338	ENSG00000283604	17	q25.3	67	0.462686567164179
100033822	SNORD115-48	ENSG00000201634	15	q11.2	76	0.407894736842105
100616244	MIR3976	ENSG00000272380	18	p11.31	139	0.402877697841727
100616391	MIR4684	ENSG00000265422	1	p36.12	82	0.524390243902439
100616368	MIR4688	ENSG00000264102	11	p11.2	83	0.63855421686747
693146	MIR561	ENSG00000207951	2	q32.1	97	0.45360824742268
406957	MIR181C	ENSG00000207613	19	p13.12	110	0.545454545454545
54918	CMTM6	ENSG00000091317	3	p22.3	3366	0.459828881169107
449491	DEFA8P	ENSG00000223629	8	p23.1	285	0.563644782877135
727936	GXYLT2	ENSG00000172986	3	p13	1544	0.516436159342294
541465	CT45A6	ENSG00000278289	X	q26.3	1008	0.459189706343768
100500845	MIR642B	ENSG00000283212	19	q13.32	77	0.558441558441558
23475	QPRT	ENSG00000103485	16	p11.2	1554	0.635270028947866
728279	KRTAP2-2	ENSG00000214518	17	q21.2	713	0.629733520336606
503519	LINC00929	ENSG00000259150	15	q12	1485	0.480203226315015
101340252	SNORD121B	ENSG00000238300	9	p13.3	79	0.392405063291139
574498	MIR516A1	ENSG00000207767	19	q13.42	90	0.444444444444444
729967	MORN2	ENSG00000188010	2	p22.1	741	0.417200716507007
342538	NACA2	ENSG00000253506	17	q23.2	770	0.453246753246753
100302123	MIR1275	ENSG00000221697	6	p21.31	80	0.5125
100847087	MIR5192	ENSG00000266097	2	p15	92	0.554347826086957
100616464	MIR4778	ENSG00000264525	2	p14	80	0.4125
693190	MIR605	ENSG00000207813	10	q21.1	83	0.44578313253012
100616207	MIR4439	ENSG00000263828	2	q36.2	80	0.425
54600	UGT1A9	ENSG00000241119	2	q37.1	2710	0.473915586275582
1495	CTNNA1	ENSG00000044115	5	q31.2	4175	0.498327811592248
51225	ABI3	ENSG00000108798	17	q21.32	2109	0.647371642465035
100616216	MIR4797	ENSG00000265850	3	q29	71	0.436619718309859
25849	PARM1	ENSG00000169116	4	q13.3	5054	0.547883596270923
8784	TNFRSF18	ENSG00000186891	1	p36.33	1388	0.660490446021917
83442	SH3BGRL3	ENSG00000142669	1	p36.11	1115	0.621832301831633
26011	TENM4	ENSG00000149256	11	q14.1	13793	0.551970393319061
152	ADRA2C	ENSG00000184160	4	p16.3	1958	0.680796731358529
5959	RDH5	ENSG00000135437	12	q13.2	2053	0.566175701915223
406944	MIR153-1	ENSG00000207647	2	q35	90	0.466666666666667
55153	SDAD1	ENSG00000198301	4	q21.1	3093	0.406415113909387
100302141	MIR1913	ENSG00000222958	6	q27	80	0.6375
149620	CHIAP2	ENSG00000203878	1	p13.2	2803	0.497059234219335
100616458	MIR5095	ENSG00000266188	1	p32.3	69	0.57
148413	148413	ENSG00000224870	1	p36.33	1748	0.625618908289476
100302144	MIR1912	ENSG00000222321	X	q23	80	0.4
1652	DDT	ENSG00000099977	22	q11.23	723	0.627258159054276
100422873	MIR4297	ENSG00000266676	10	q26.3	76	0.684210526315789
54206	ERRFI1	ENSG00000116285	1	p36.23	4040	0.555858296549786
100302214	MIR1277	ENSG00000221463	X	q24	78	0.256410256410256
100422825	MIR3160-2	ENSG00000283497	11	p11.2	81	0.592592592592593
100616423	MIR4703	ENSG00000266611	13	q14.3	79	0.30379746835443
2800	GOLGA1	ENSG00000136935	9	q33.3	4882	0.489585513112062
254240	BPIFC	ENSG00000184459	22	q12.3	2276	0.456149140074549
51460	SFMBT1	ENSG00000163935	3	p21.1	4558	0.48155487447969
91074	ANKRD30A	ENSG00000148513	10	p11.21	4671	0.413530334946638
574454	MIR496	ENSG00000207961	14	q32.31	102	0.42156862745098
400793	C1orf226	ENSG00000239887	1	q23.3	4252	0.544667797443884
196463	PLBD2	ENSG00000151176	12	q24.13	2832	0.611275499514483
406924	MIR134	ENSG00000207993	14	q32.31	73	0.602739726027397
1143	CHRNB4	ENSG00000117971	15	q25.1	3631	0.549904640598885
100422954	MIR4309	ENSG00000266015	14	q32.31	83	0.542168674698795
57591	MKL1	ENSG00000196588	22	q13.2	4648	0.584528007207779
283237	TTC9C	ENSG00000162222	11	q12.3	1507	0.494756884599526
100616181	MIR4514	ENSG00000265855	15	q25.1	57	0.456140350877193
3561	IL2RG	ENSG00000147168	X	q13.1	1534	0.500487496371296
54845	ESRP1	ENSG00000104413	8	q22.1	3806	0.454500046002345
100302261	MIR1910	ENSG00000283416	16	q24.1	80	0.5875
442901	MIR328	ENSG00000207948	16	q22.1	75	0.68
84759	PCGF1	ENSG00000115289	2	p13.1	1131	0.52734382869789
100616161	MIR4795	ENSG00000264119	3	p11.2	89	0.292134831460674
100033440	SNORD115-3	ENSG00000199970	15	q11.2	82	0.414634146341463
100847021	MIR5002	ENSG00000266383	3	q21.2	97	0.484536082474227
6082	SNORD20	ENSG00000207280	2	q37.1	80	0.3375
123283	TARSL2	ENSG00000185418	15	q26.3	3553	0.443694983712678
79188	TMEM43	ENSG00000170876	3	p25.1	5094	0.537789084907445
767564	SNORD113-4	ENSG00000201672	14	q32.31	74	0.405405405405405
654321	SNORA75	ENSG00000206885	2	q37.1	137	0.386861313868613
644974	ALG1L2	ENSG00000251287	3	q22.1	991	0.553935643704711
693160	MIR575	ENSG00000207746	4	q21.22	94	0.542553191489362
768216	MIR454	ENSG00000211514	17	q22	115	0.391304347826087
100616312	MIR4478	ENSG00000266583	9	q33.2	86	0.651162790697674
3880	KRT19	ENSG00000171345	17	q21.2	1471	0.595145123296346
284801	284801	ENSG00000227195	20	p11.1	1213	0.43750752950753
724033	724033	ENSG00000227195	20	p11.1	93	0.763440860215054
100616344	MIR3689D2	ENSG00000264136	9	q34.3	80	0.575
283129	MAJIN	ENSG00000168070	11	q13.1	1820	0.48728564563147
100500850	MIR3682	ENSG00000265452	2	p16.2	84	0.297619047619048
7431	VIM	ENSG00000026025	10	p13	2136	0.503625824943528
57096	RPGRIP1	ENSG00000092200	14	q11.2	4886	0.466223245837633
1043	CD52	ENSG00000169442	1	p36.11	1177	0.519130761866896
27333	GOLIM4	ENSG00000173905	3	q26.2	2841	0.444673107476874
3957	LGALS2	ENSG00000100079	22	q13.1	528	0.533330078280238
90673	PPP1R3E	ENSG00000235194	14	q11.2	4495	0.595904359095417
407055	MIR99A	ENSG00000207638	21	q21.1	81	0.530864197530864
94107	TMEM203	ENSG00000187713	9	q34.3	1556	0.567480719794345
91664	ZNF845	ENSG00000213799	19	q13.42	4413	0.528897812236731
5912	RAP2B	ENSG00000181467	3	q25.2	6235	0.420368885324779
79961	DENND2D	ENSG00000162777	1	p13.2	3539	0.536477591492807
28231	SLCO4A1	ENSG00000101187	20	q13.33	2776	0.614832245216494
5469	MED1	ENSG00000125686	17	q12	8148	0.451275209558388
5142	PDE4B	ENSG00000184588	1	p31.3	5721	0.477518763558183
9587	MAD2L1BP	ENSG00000124688	6	p21.1	1629	0.566877209016143
693170	MIR585	ENSG00000207619	5	q35.1	94	0.542553191489362
10489	LRRC41	ENSG00000132128	1	p33	3636	0.565212177260085
407053	MIR96	ENSG00000199158	7	q32.2	77	0.480519480519481
83874	TBC1D10A	ENSG00000099992	22	q12.2	2018	0.614067568962483
100847078	MIR548AQ	ENSG00000265470	3	q27.2	20	0.25
